Handle,Command,Title,Body (HTML),Tags,Type,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Price,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Vendor,Status,Image Src,Image Position
-office-chair-high-back-racing-style-gaming-chair-adjustable-pu-leather-swivel-computer-task-seat-with-lumbar-support-and-pillow-red,MERGE, Office Chair High Back Racing Style Gaming Chair Adjustable PU Leather Swivel Computer Task Seat with Lumbar Support and Pillow Red,"<p>Reach new heights of productivity and comforts with our [BRAND NAME] office chairs. Designed in a race car style with contoured segmented padding, a high back, and integrated headrest and lumbar support, this swivel chair provides comfort whether used during intense gaming sessions or long work days. Additional features include seat height adjustment, tilt-lock/tilt-tension control and a 360-degree swivel. A great addition to accentuate any space!</p><h3>Features:</h3><ul style='list-style:none;margin-left:15px;'><li>• Executive chair with high back and waterfall seat design, ideal for office or gaming room</li><li>• Soft all PU leather upholstery is highly comfortable with ample padding</li><li>• 360 degree swivel ability provides plenty of convenience</li><li>• Smooth universal casters provide increased comfort and mobility</li><li>• Ultimate comfort with thick padded lumbar support, headrest and armrests</li><li>• Adjust the height with the gas lift to fit any sized body</li><li>• The chair can be tilted back and forth for added relaxation</li><li>• Racing gaming style add fashion to your room</li><li>• Assembly is required</li></ul><h3>Specification:</h3><ul style='list-style:none;margin-left:15px;'><li>• Color: Black and Red</li><li>• Material: 22D Sponge, PU Leather.Steel</li><li>• Overall Dimension:28.75'W x 25.25'D x 44'-48'H</li><li>• Seat Size:19.75'W x 19'D</li><li>• Seat Height:20'-24'</li><li>• Backrest Size: 20'Wx 29.75'H</li><li>• Weight Capacity: 265lbs</li></ul><h3>Package Includes:</h3><ul style='list-style:none;margin-left:15px;'><li>1x gaming chair</li><li>1x instruction</li></ul>","كرسي ألعاب, Gaming Chair, መንበር መወዳእታ, جلد صناعي, PU Leather, PU ቆርበት, ارتفاع قابل للتعديل, Adjustable Height, ከፍታ ዝተሰምዐ, دعم قطني, Lumbar Support, ደገፍ ሕበራዊ, دوار بزاوية 360, 360-Degree Swivel, ብ360 ዲግሪ ዙር, مسند رأس, Headrest, መሪዕ ምድጋፍ, عجلات ناعمة, Smooth Casters, ለውዝ መንኮራኩር",Office Products,Color,Red,Size,"28.75""W x 25.25""D x 48""H",921-144RD,118.99,shopify,100,deny,Aosom,active,https://img-us.aosomcdn.com/100/product/2025/01/23/S0fda1194956615f0.jpg,1
-office-chair-high-back-racing-style-gaming-chair-adjustable-pu-leather-swivel-computer-task-seat-with-lumbar-support-and-pillow-red,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2025/01/23/S0fda1194956615f0.jpg,2
-office-chair-high-back-racing-style-gaming-chair-adjustable-pu-leather-swivel-computer-task-seat-with-lumbar-support-and-pillow-red,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2025/01/23/lg64d3194956615f0.jpg,3
-office-chair-high-back-racing-style-gaming-chair-adjustable-pu-leather-swivel-computer-task-seat-with-lumbar-support-and-pillow-red,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2025/01/23/TYB429194956615f0.jpg,4
-office-chair-high-back-racing-style-gaming-chair-adjustable-pu-leather-swivel-computer-task-seat-with-lumbar-support-and-pillow-red,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2025/01/23/Frq071194956615f0.jpg,5
-office-chair-comfortable-computer-desk-chair-with-padded-seat-and-adjustable-height-tufted-back-black,MERGE," Office Chair, Comfortable Computer Desk Chair with Padded Seat and Adjustable Height, Tufted Back, Black","<p>Try out this computer chair from [BRAND NAME] provides comfort and mobility during your work. Featuring decorative crystal on the back, upholstered tufting with PU leather and solid electroplated legs, the office chair brings a bit of vanity appeal to your look. It blends easily with a variety of decor and can fit into any space. Take your productivity to the next level with the task chair that brings out your very great performance.</p><h3>Features:</h3><ul style='list-style:none;margin-left:15px;'><li>• Faux leather is luxury and easy to maintain</li><li>• Button-tufted back with decorative plastic crystals adds a touch of elegance</li><li>• Adjust the seat height to suits your needs during prolonged hours of working</li><li>• 360° swivel seat for easy mobility and optimal task engagement</li><li>• Super comfort and upholstery padded backrest and seat</li><li>• Assembly required</li></ul><h3> Specification:</h3><ul style='list-style:none;margin-left:15px;'><li>• Colour: Black</li><li>• Materials: PU Leather (100% PU), Foam, Metal, PP, PU</li><li>• Overall Dimensions: 23.4' W x 23.8' D x 36.6'-40.6' H (59.5 x 60.5 x 93-103 cm)</li><li>• Seat Size: 18.1' W x 17.9' D x 19.3'-22.8' H (46 x 45.5 x 49-58cm)</li><li>• Seat Thickness: 3.9' (10 cm)</li><li>• Back Size: 19.1' W x 18.5' H (48.5 x 47 cm)</li><li>• Back Thickness: 2.6' (6.5 cm)</li><li>• Armrest Size: 3.9' L x 3.1' W x 8.3' H (10 x 8 x 21cm)</li><li>• Weight Capacity: 265 lbs (120 kg)</li><li>• Item Label: 921-169V01BK</li></ul><h3>Package Includes:</h3><ul style='list-style:none;margin-left:15px;'><li>• 1 x Office Chair</li><li>• 1 x Manual</li></ul>","كرسي مكتب, مكتب كرسي, መደበብ ወንበር, كرسي كمبيوتر, كمبيوتر كرسي, ኮምፒውተር ወንበር, كرسي قابل للتعديل, قابل للتعديل كرسي, የሚስተናገድ ወንበር, كرسي بمسند ظهر مبطن, مبطن كرسي ظهر, የተሸፈነ ጀርባ ወንበር, كرسي بعجلات, عجلات كرسي, ጎማ ወንበር",Office Products,Color,Black,Size,"23"" x 24"" x 37""-41"";",921-169V01BK,129.99,shopify,37,deny,Aosom,active,https://img-us.aosomcdn.com/100/product/2025/01/23/UdA32119492f7cd12.jpg,1
-office-chair-comfortable-computer-desk-chair-with-padded-seat-and-adjustable-height-tufted-back-black,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2025/01/23/UdA32119492f7cd12.jpg,2
-office-chair-comfortable-computer-desk-chair-with-padded-seat-and-adjustable-height-tufted-back-black,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2025/01/23/V47e3819492f7cd12.jpg,3
-office-chair-comfortable-computer-desk-chair-with-padded-seat-and-adjustable-height-tufted-back-black,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2025/01/23/7E20cd19492f7cd12.jpg,4
-office-chair-comfortable-computer-desk-chair-with-padded-seat-and-adjustable-height-tufted-back-black,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2025/01/23/aqZea919492f7cd12.jpg,5
-55-corner-computer-desk-360-rotating-l-shaped-desk-home-office-workstation-with-3-tier-shelves-bookshelf-white,MERGE," 55"" Corner Computer Desk, 360° Rotating L-Shaped Desk, Home Office Workstation with 3-Tier Shelves, Bookshelf, White","<p>The [BRAND NAME] L shaped desk features a unique rotating design that can be adjusted to your needs and contains plenty of storage space. The modern look adds a touch of class to your office or home and is crafted from high grade materials. Create a stylish workstation, storage unit, and display case with this unique offering from your friends at [BRAND NAME].</p><h3>Features:</h3><ul style='list-style:none;margin-left:15px;'><li>• Space saving l-shaped computer desk ideal for your office, bedroom, dorm</li><li>• Rotating design allows it to be placed as an l-shape or straight shaped unit</li><li>• Large top working surface for placing computer equipment and school supplies</li><li>• Solid and sturdy build from durable engineered wood with a laminated surface</li><li>• Easy to clean furniture with smooth-coated and dust-resistant top surfaces</li><li>• Easy assembly required</li></ul><h3>Specification:</h3><ul style='list-style:none;margin-left:15px;'><li>• Colour: White Wood Grain</li><li>• Material: Particle Board</li><li>• Overall Size (L-shape): 55' L x 47.25' W x 30.75' H</li><li>• Overall Size (Straight): 90.5' L x 15.5' W x 30.75' H</li><li>• Desk Dimensions: 55' L x 15.5' W x 30.75' H</li><li>• Shelf Dimensions: 47.25' L x 11.75' W x 28.75' H</li><li>• Weight Capacity (Desk): 154 lbs.</li><li>• Weight Capacity (Shelf): 88 lbs.</li><li>• Item Label: 836-072WT</li></ul><h3>Package Includes:</h3><ul style='list-style:none;margin-left:15px;'><li>• 1 x Desk with Shelf</li><li>• 1 x Instruction</li></ul>","مكتب زاوية, Corner desk, ኮርነር ዴስክ, حاسوب, computer, ኮምፒውተር, أرفف, shelves, መደርደሪያታት, دوار, rotating, ዞር ዞር ዝብል, أبيض, white, ጻዕዳ, أثاث مكتبي, office furniture, ኦፊስ ፈርኒቸር",Office Products,Color,White,Size,"55"" x 47.25"" x 30.75""",836-072WT,143.99,shopify,64,deny,Aosom,active,https://img-us.aosomcdn.com/100/product/2025/01/24/KsN8e0194962f6cd0.jpg,1
-55-corner-computer-desk-360-rotating-l-shaped-desk-home-office-workstation-with-3-tier-shelves-bookshelf-white,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2025/01/24/KsN8e0194962f6cd0.jpg,2
-55-corner-computer-desk-360-rotating-l-shaped-desk-home-office-workstation-with-3-tier-shelves-bookshelf-white,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2025/01/24/lJM616194962f6cd0.jpg,3
-55-corner-computer-desk-360-rotating-l-shaped-desk-home-office-workstation-with-3-tier-shelves-bookshelf-white,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2025/01/24/KGK477194962f6cd0.jpg,4
-55-corner-computer-desk-360-rotating-l-shaped-desk-home-office-workstation-with-3-tier-shelves-bookshelf-white,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2025/01/24/kty6a4194962f6cd0.jpg,5
-computer-desk-table-home-office-furniture-with-keyboard-tray-and-cpu-stand-black-and-white,MERGE," Computer Desk Table Home Office Furniture with Keyboard Tray and CPU Stand, Black and White","<p>Transform your home office into a modern and professional workspace with the [BRAND NAME] work desk. This stylish desk offers ample room for your computer and accessories, featuring a sliding keyboard tray and a spacious surface for your monitor and daily essentials. A small drawer and cabinet provide convenient storage for personal items. With anti-slip feet ensuring stability and security, this desk is the perfect solution for those seeking a sleek and efficient home office environment.</p><h3>Features:</h3><ul style='list-style:none;margin-left:15px;'><li>• Solid steel and quality MDF board material in hardwearing and durable build</li><li>• Space saving and practical furniture suitable for office, home, dorm room etc.</li><li>• Drawer and cabinet for storage of papers, books, pens, files, pencils, notebooks etc.</li><li>• It provides spacious space for study and work</li><li>• With sliding keyboard tray and CPU stand</li><li>• Anti-slip feet is beneficial for ensuring stability</li></ul><h3> Specification:</h3><ul style='list-style:none;margin-left:15px;'><li>• Color: Black & White</li><li>• Material: Steel, MDF</li><li>• Overall Dimension: 39.4'L x 20.5'W x 29.5'H</li><li>• Drawer Panel Size: 11'L x 4.4'H</li><li>• Internal Drawer Dimension: 9.3'L x 10.2'D x 3.1'H</li><li>• Cabinet Dimension: 11'L x 11'D x 11'H</li><li>• Keyboard Tray Size: 23.6'L x 11.8'W</li><li>• CPU Stand Size: 9.4'L x 13.4'W</li><li>• Max. Load: 220.5lbs</li></ul><h3>Package Includes:</h3><ul style='list-style:none;margin-left:15px;'><li>•1x Computer Desk</li><li>•1x Manual</li></ul>","مكتب حاسوب, Computer desk, ኮምፒውተር ዴስክ, أثاث مكتبي, Office furniture, ቢሮ እቃ, طاولة كتابة, Writing desk, ዴስክ, سطح عمل, Work surface, የስራ ወለል",Office Products,Color,Black,Size,1 Count (Pack of 1),920-019BK,114.99,shopify,26,deny,Aosom,active,https://img-us.aosomcdn.com/100/product/2026/04/17/8Wa17119d9965312a.jpg,1
-computer-desk-table-home-office-furniture-with-keyboard-tray-and-cpu-stand-black-and-white,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2026/04/17/8Wa17119d9965312a.jpg,2
-computer-desk-table-home-office-furniture-with-keyboard-tray-and-cpu-stand-black-and-white,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2025/07/29/eIhd1819854ac799f.jpg,3
-computer-desk-table-home-office-furniture-with-keyboard-tray-and-cpu-stand-black-and-white,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2023/11/17/nUua0918bdb365b5d.jpg,4
-computer-desk-table-home-office-furniture-with-keyboard-tray-and-cpu-stand-black-and-white,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2023/11/17/QGW88c18bdb365b5d.jpg,5
-vertical-filing-cabinet-mobile-file-cabinet-on-wheels-with-3-drawers-and-4-open-shelves-printer-stand-with-lockable-casters-for-home-office-white,MERGE," Vertical Filing Cabinet, Mobile File Cabinet on Wheels with 3 Drawers and 4 Open Shelves, Printer Stand with Lockable Casters for Home Office, White","<p>Do you have an office space that's lacking in storage? Stop losing things you need because you throw it 'anywhere' or pile it on top of your desk. This [BRAND NAME] storage cabinet with drawers is ready to be your assistant through the busy work day. Have everything you need and know where it is so you're spending more time being productive rather than shuffling through that stack of papers trying to find that thing. If you stay ready, you don't have to get ready with [BRAND NAME] mobile file cabinet.</p><h3>Features:</h3><ul style='list-style:none;margin-left:15px;'><li>• 4 shelves and 3 drawers to store your office supplies</li><li>• Tabletop can hold printers, scanners or display person items</li><li>• 4 wheels, 2 with brakes, for easy movement and safety</li><li>• Particleboard with melamine coated for easy cleaning and reliable daily use</li><li>• Assembly required</li></ul><h3>Specification:</h3><ul style='list-style:none;margin-left:15px;'><li>• Colour: White</li><li>• Material: Particleboard</li><li>• Overall Dimension: 15'L x 15.7'W x 34.2'H (38 x 40 x 86.8cm)</li><li>• Upper Shelf Size: 14.8' L x 15' W x 3.5' H (37.5 x 38 x 9 cm) (each shelf)</li><li>• Drawer Inner Size: 13.8' L x 11.2' W x 2.8' H (35 x 28.5 x 7 cm) (each drawer)</li><li>• Weight Capacity: 46lbs (21 kg) (total), 6lbs (2.5 kg) (each shelf)</li></ul><h3>Package Includes:</h3><ul style='list-style:none;margin-left:15px;'><li>1 x File Cabinet</li><li>1 x Manual</li></ul>","خزانة ملفات,File cabinet,ካቢኔት ፋይል,مكتب متنقل,Mobile desk,ሞባይል ዴስክ,رفوف مفتوحة,Open shelves,ክፍት መደርደሪያ,عجلات قابلة للقفل,Lockable casters,መቆለፊያ ጎማዎች,حامل طابعة,Printer stand,የፕሪንተር መቆሚያ,تخزين المكتب,Office storage,የቢሮ ማከማቻ",Office Products,Color,White,Size,"15""L x 15.7""W x 34.2""H",924-010,104.99,shopify,32,deny,Aosom,active,https://img-us.aosomcdn.com/100/product/2025/01/23/Imi31719493e75b73.jpg,1
-vertical-filing-cabinet-mobile-file-cabinet-on-wheels-with-3-drawers-and-4-open-shelves-printer-stand-with-lockable-casters-for-home-office-white,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2025/01/23/Imi31719493e75b73.jpg,2
-vertical-filing-cabinet-mobile-file-cabinet-on-wheels-with-3-drawers-and-4-open-shelves-printer-stand-with-lockable-casters-for-home-office-white,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2025/01/23/adt36419493e75b73.jpg,3
-vertical-filing-cabinet-mobile-file-cabinet-on-wheels-with-3-drawers-and-4-open-shelves-printer-stand-with-lockable-casters-for-home-office-white,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2025/01/23/zPr89619493e75b73.jpg,4
-vertical-filing-cabinet-mobile-file-cabinet-on-wheels-with-3-drawers-and-4-open-shelves-printer-stand-with-lockable-casters-for-home-office-white,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2025/01/23/diTc6819493e75b73.jpg,5
