Handle,Command,Title,Body (HTML),Tags,Type,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Price,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Vendor,Status,Image Src,Image Position
soozier-43-adjustable-aerobic-platform-stepper-3-level-with-risers-4-6-8-cardio-fitness-trainer-workout-step-home-gym-exercise-black-purple,MERGE,"Soozier 43"" Adjustable Aerobic Platform Stepper 3 Level with Risers 4” 6” 8” Cardio Fitness Trainer Workout Step Home Gym Exercise, Black Purple","<p>Soozier 43' Adjustable Aerobic Cardio Exercise Stepper with Risers is the ultimate fitness tool for getting into shape the professional way. Adjustable to 4, 6, or 8 inches in height and shock absorbing with a non-stick, non-slip surface it provides excellent traction on any floor. This aerobic stepper will enhance your workout by building strength and endurance taking your cardiovascular fitness to the next level and beyond.</p><h3>Features:</h3><ul style='list-style:none;margin-left:15px;'><li>• Excellent cardio workout platform for toning, weight losing and body strengthening</li><li>• 3 level Adjustable to 4”, 6”, 8” in height controlled by risers for varied workout intensity</li><li>• High stability and safe grip with shock absorbing, non-stick, non-slip surface</li><li>• Convenient transport and storage with its lightweight</li><li>• Durable and recyclable PP material ensures years of use</li><li>• Platform without risers – weight capacity: 330lbs. 550lbs capacity when platform is stacked on risers</li><li>• Two pairs of risers included</li><li>• Assembly is required</li></ul><h3>Specification:</h3><ul style='list-style:none;margin-left:15px;'><li>• Color: Black, Purple</li><li>• Material: PP</li><li>• Platform Size: 43'L x 16'W</li><li>• Net Weight: 16.5lbs</li><li>• Weight Capacity: 550lbs</li><li>• Adjustable Height: 4', 6', 8'</li></ul>","aerobic stepper platform, aerobic stepper platform, መድረክ ኤሮቢክ ስቴፕር, adjustable height risers, adjustable height risers, የሚስተካከል ከፍታ ራይዘርስ, cardio fitness trainer, cardio fitness trainer, የልብ ምት አሰልጣኝ, home gym exercise equipment, home gym exercise equipment, የቤት ጂም መሳሪያ, black purple platform, black purple platform, ጥቁር ሐምራዊ መድረክ",Sports & Recreation,Color,Purple,Size,"42.9""x16.1""x8""",A90-014VT,89.99,shopify,127,deny,Aosom,active,https://img-us.aosomcdn.com/100/product/2025/01/23/c1E92119494d34b10.jpg,1
soozier-43-adjustable-aerobic-platform-stepper-3-level-with-risers-4-6-8-cardio-fitness-trainer-workout-step-home-gym-exercise-black-purple,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2025/01/23/c1E92119494d34b10.jpg,2
soozier-43-adjustable-aerobic-platform-stepper-3-level-with-risers-4-6-8-cardio-fitness-trainer-workout-step-home-gym-exercise-black-purple,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2025/01/23/Nh293619494d34b10.jpg,3
soozier-43-adjustable-aerobic-platform-stepper-3-level-with-risers-4-6-8-cardio-fitness-trainer-workout-step-home-gym-exercise-black-purple,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2025/01/23/RYN31419494d34b10.jpg,4
soozier-43-adjustable-aerobic-platform-stepper-3-level-with-risers-4-6-8-cardio-fitness-trainer-workout-step-home-gym-exercise-black-purple,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2025/01/23/UJYbc719494d34b10.jpg,5
soozier-gt-snow-racer-sleds-for-kids-with-padded-rubber-seat-traction-rope-snow-motor-with-wind-shield-handle-and-anti-slip-pedal-winter-gift-for-boys-girls-red,MERGE,"Soozier GT Snow Racer Sleds for Kids with Padded Rubber Seat Traction Rope, Snow Motor with Wind Shield Handle and Anti-Slip Pedal, Winter Gift for Boys Girls Red","<p>Get ready with for the snow with this high-quality snowmobile. The Soozier's snowmobile is an exciting entertainment for children and adults alike in the winter while the lightweight but strong product will give players fun riding with super speed. Unlike other traditional sledges with chamfered edged seating slats without back, this snowmobile will offer comfortable seating back when riding and playing. Don't wait, click and buy it with your children for the coming winter.</p><h3>Features:</h3><ul style='list-style:none;margin-left:15px;'><li>• Snow racer with solid material in modern and fashionable design</li><li>• Steady and comfortable slide with ergonomic seat and suspension spring system</li><li>• Automatic retraction rope in superior strength can be easily controlled when in play</li><li>• Complete with suspension spring to keep slide steady</li><li>• Suitable for the people over 7 years old</li><li>• Easy assembly required with instruction included</li></ul><h3> Specification:</h3><ul style='list-style:none;margin-left:15px;'><li>• Material: Steel, Rubber, PE</li><li>• Colour: Red, White</li><li>• Weight Capacity: 88lbs</li><li>• Overall Dimension: 48.75'L×19.75'W×17.75'H</li><li>• Seat Height: 8.25'</li><li>• Front Snowboard Size: 17.75'L×4.25'W</li><li>• Back Snowboard Size: 30.75'L×4.25'W</li><li>• Standard/Recommended Age: 7+ years old</li><li>• Item Label: 330-027</li></ul><h3>Package Includes:</h3><ul style='list-style:none;margin-left:15px;'><li>• 1 x Kids Snow Sledge</li><li>• 1 x Manual</li></ul>","مزلجة أطفال ثلجية, Children's snow sled, ዝናብ ልጅ በረዶ ስሌጅ,ألعاب شتوية, Winter toys, የክረምት መጫወቻዎች,عتاد التزلج, Sledding equipment, የበረዶ ስሌጂንግ መሳሪያ,هدية أطفال, Kids gift, የልጅ ስጦታ,رياضة ثلجية, Snow sport, የበረዶ ስፖርት,نشاط خارجي, Outdoor activity, የውጪ እንቅስቃሴ",Sports & Recreation,Color,Multi Colour,Size,"48.75""×19.75""×17.75""",330-027,119.99,shopify,0,deny,Aosom,active,https://img-us.aosomcdn.com/100/product/2025/07/09/mrl58e197f0e97a16.jpg,1
soozier-gt-snow-racer-sleds-for-kids-with-padded-rubber-seat-traction-rope-snow-motor-with-wind-shield-handle-and-anti-slip-pedal-winter-gift-for-boys-girls-red,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2025/07/09/mrl58e197f0e97a16.jpg,2
soozier-gt-snow-racer-sleds-for-kids-with-padded-rubber-seat-traction-rope-snow-motor-with-wind-shield-handle-and-anti-slip-pedal-winter-gift-for-boys-girls-red,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2022/10/14/WE33c7183d4347008.jpg,3
soozier-gt-snow-racer-sleds-for-kids-with-padded-rubber-seat-traction-rope-snow-motor-with-wind-shield-handle-and-anti-slip-pedal-winter-gift-for-boys-girls-red,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2022/10/14/FFla09183d4347008.jpg,4
soozier-gt-snow-racer-sleds-for-kids-with-padded-rubber-seat-traction-rope-snow-motor-with-wind-shield-handle-and-anti-slip-pedal-winter-gift-for-boys-girls-red,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2022/10/14/4UP88c183d4347008.jpg,5
