Handle,Command,Title,Body (HTML),Tags,Type,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Price,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Vendor,Status,Image Src,Image Position
-6-wheels-stair-climber-hand-truck-dolly-heavy-duty-folding-steel-load-cart-with-adjustable-telescoping-handle-for-moving-luggage-travel-office-154lbs-capacity,MERGE," 6-Wheels Stair Climber Hand Truck, Dolly Heavy Duty Folding Steel Load Cart with Adjustable Telescoping Handle for Moving, Luggage, Travel & Office, 154lbs Capacity","<p>Choose this 6-wheel stair-climbing trolley to get your large appliances upstairs, or simply transport bulky loads across uneven floors. It has a large capacity, aluminum-frame with fixed rope, offers great support and avoid the large load from falling. Simply fold it to store away in your trunk when not in use.</p><h3>Features:</h3><ul style='list-style:none;margin-left:15px;'><li>• 6-wheels design for transporting loads up/down stairs, across uneven floor</li><li>• Suitable for helping with large appliances upstairs, as a shopping cart, transporting bulky boxes etc.</li><li>• Telescopic ergonomic handle is more flexible in different situations</li><li>• Fixed rope to avoid the larger loads from falling</li><li>• Aluminum frame is sturdy to hold up to 70kg, and lightweight for movement</li><li>• Superior PP and TPR tires make the rolling smooth</li><li>• Foldable design for easy transport and storage, suitable for most trunk spaces</li></ul><h3> Specification:</h3><ul style='list-style:none;margin-left:15px;'><li>• Color: Silver & Black</li><li>• Material: Aluminum, PP, TPR</li><li>• Max Load: 154lbs(On the floor), 66lbs(Up/down stairs)</li><li>• Overall Dimension: 18.5'L x 18.5”W x 39.25'H</li><li>• Folding Dimension: 15.75'L x 4'W x 25'H</li><li>• Chassis Size: 15.25”L x 11”W</li></ul><h3>Package Includes:</h3><ul style='list-style:none;margin-left:15px;'><li>1 x 6-Wheels Climbing Stairs Trolley,  1 x Fixed Rope</li></ul>","معدات نقل يدوية, Hand truck, ተሸካሚ መኪና, عربة متعددة الاستخدامات, Dolly cart, ዶሊ ካርት, سلم ناقل, Stair climber, ደረጃ ወጪ, حاملة أثاث, Furniture mover, እቃ አንቀሳቃሽ, عربة تسوق, Shopping cart, የግዢ ጋሪ",Home Improvement,Color,"Silver, Black",Size,154lbs,B71-030,72.99,shopify,0,deny,Aosom,active,https://img-us.aosomcdn.com/100/product/2025/07/25/cCX8c61983fa5e93a.jpg,1
-6-wheels-stair-climber-hand-truck-dolly-heavy-duty-folding-steel-load-cart-with-adjustable-telescoping-handle-for-moving-luggage-travel-office-154lbs-capacity,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2025/07/25/cCX8c61983fa5e93a.jpg,2
-6-wheels-stair-climber-hand-truck-dolly-heavy-duty-folding-steel-load-cart-with-adjustable-telescoping-handle-for-moving-luggage-travel-office-154lbs-capacity,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2025/04/09/WIF8d91961bd6e6d4.jpg,3
-6-wheels-stair-climber-hand-truck-dolly-heavy-duty-folding-steel-load-cart-with-adjustable-telescoping-handle-for-moving-luggage-travel-office-154lbs-capacity,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2025/01/24/IDO29a19495d4629f.jpg,4
-6-wheels-stair-climber-hand-truck-dolly-heavy-duty-folding-steel-load-cart-with-adjustable-telescoping-handle-for-moving-luggage-travel-office-154lbs-capacity,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2025/01/24/NGG1bb19495d4629f.jpg,5
-5-drawer-rolling-tool-cabinet-on-wheels-lockable-tool-chest-tool-organizer-for-garage-factory-and-workshop-black,MERGE," 5-Drawer Rolling Tool Cabinet on Wheels, Lockable Tool Chest, Tool Organizer for Garage, Factory and Workshop, Black","<p>Look no further than this tool box from [BRAND NAME], for keeping your professional equipment safely stored. A five-tier design, it features three small and two large drawers, giving you lots of room to keep everything organised so you can find what you need easily. Its frame is made from steel which is solid and tough to withstand daily use, with four wheels and a side handle to move around easily, even when full.</p><h3>Features:</h3><ul style='list-style:none;margin-left:15px;'><li>• Great for keeping your tools and equipment safely together in the garage or workshop</li><li>• Features three small and two large drawers</li><li>• Solid steel body ensures reliable everyday use</li><li>• Side handle and four wheels to move unit around easily</li><li>• EVA mat in each drawer absorbs oil and liquids to keep inside clean</li><li>• Can be locked for security, comes with two keys</li></ul><h3> Specification:</h3><ul style='list-style:none;margin-left:15px;'><li>• Colour: Black</li><li>• Material: Steel</li><li>• Overall Dimension (without handle): 24.2' W x 13' D x 32.5' H (61.5 x 33 x 82.5 cm)</li><li>• Small Drawer Size: 20.1' L x 10.8' W x 3.3' H (51 x 27.5 x 8.5 cm)</li><li>• Large Drawer Size: 20.1' L x 10.8' W x 6.7' H (51 x 27.5 x 17 cm)</li><li>• Countertop Size (with handle): 26.8' L x 13' W (68 x 33 cm)</li><li>• Weight Capacity: small drawer: 22 lbs (10 kg), large drawer: 44 lbs (20 kg)</li><li>• Item Label: B20-004BK</li></ul><h3>Package Includes:</h3><ul style='list-style:none;margin-left:15px;'><li>• 1 x Tool Cart</li><li>• 1 x Manual</li></ul>","صندوق أدوات, Tool box, ሳጥን መሳርሒታት, حامل أدوات متحرك, Rolling tool cabinet, ተንቀሳቓሲ መደርደሪ መሳርሒታት, مقفل, Lockable, ዝሐሰር, خزانة أدوات, Tool chest, ደርዲ መሳርሒታት",Home Improvement,Color,Black,Size,61.5 x 33 x 82.5 cm,B20-004BK,244.99,shopify,119,deny,Aosom,active,https://img-us.aosomcdn.com/100/product/2023/11/29/zxBdf818c1a05a8b2.jpg,1
-5-drawer-rolling-tool-cabinet-on-wheels-lockable-tool-chest-tool-organizer-for-garage-factory-and-workshop-black,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2023/11/29/zxBdf818c1a05a8b2.jpg,2
-5-drawer-rolling-tool-cabinet-on-wheels-lockable-tool-chest-tool-organizer-for-garage-factory-and-workshop-black,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2025/01/23/paOe821949379683d.jpg,3
-5-drawer-rolling-tool-cabinet-on-wheels-lockable-tool-chest-tool-organizer-for-garage-factory-and-workshop-black,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2023/11/29/cYB4b118c1a05a8b2.jpg,4
-5-drawer-rolling-tool-cabinet-on-wheels-lockable-tool-chest-tool-organizer-for-garage-factory-and-workshop-black,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2023/11/29/c70b4918c1a05a8b2.jpg,5
